Vianet Group Inc. ADR,VNET
Agritek Holdings Inc.,AGTK
Akamai Technologies Inc.,AKAM
Baidu Inc. ADR,BIDU
Blucora Inc.,BCOR
Boingo Wireless Inc.,WIFI
Brainybrawn Inc.,BRNW
Carbonite Inc.,CARB
China Finance Online Co. Ltd. ADR,JRJC
ChinaCache International Holdings Ltd. ADR,CCIH
Cogent Communications Holdings Inc.,CCOI
Crexendo Inc.,CXDO
CrowdGather Inc.,CRWG
Easter Asteria Inc.,EATR
ENDEXX Corp,EDXC
Envestnet Inc.,ENV
Facebook Inc. CI A,FB
First Libert Power Corp.,FLPC
FlashZero Corp.,FZRO
Genesis Eletronics Group Inc.,GEGI
GoDaddy Inc. Cl A,GDDY
IAC/InterActiveCorp.,IAC
Internet Initiative Japan Inc. ADR,IIJI
j2 Global Inc.,JCOM
Legend Oil & Gas Ltd.,LOGL
Limelight Networks Inc.,LLNW
Momo Inc. ADR,MOMO
Netease Inc. ADR,NTES
NIC Inc.,EGOV
O2 Secure Wireless Inc.,OTOW
Peer to Peer Network,PTOP
Sify Technologies Ltd. ADR,SIFY
Sina Corp.,SINA
SMC Entertainment Inc.,SMCE
Spectral Capital Corp.,FCCN
Sunset Capital Assets Inc.,SNST
Tencent Holdings Ltd.,TCTZF
Tencent Holdings Ltd. ADR,TCEHY
TMM Inc.,TMMI
Toron Inc.,TRON
Tucows Inc.,TCX
Twitter Inc.,TWTR
Xunlei Ltd. ADR,XNET
Yahoo Japan Corp. ADR,YAHOY
Yandex N.V. Cl A,YNDX
Yangaroo Inc.,YOOIF
Yippi Inc.,YIPI
